Sample	Phylum	Host	Compartment	Seq_count
S-7-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	6607
S-8-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	21227
S-9-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	9435
S-1-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	1678
S-10-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	21506
S-11-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	12797
S-12-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	11425
S-13-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	7971
S-14-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	8546
S-15-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	7901
S-16-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	4384
S-17-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	4151
S-18-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	439
S-19-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	1837
S-2-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	3703
S-20-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	648
S-21-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	1493
S-22-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	6548
S-23-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	28318
S-24-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	15626
S-25-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	552
S-26-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	494
S-27-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	629
S-3-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	1290
S-7-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	93
S-8-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	112
S-9-POLJUN-B	Eremiobacterota	P_juniperinum	Brown	71
S-1-POLJUN-B	Others	P_juniperinum	Brown	1335
S-10-POLJUN-B	Others	P_juniperinum	Brown	19620
S-11-POLJUN-B	Others	P_juniperinum	Brown	14436
S-12-POLJUN-B	Others	P_juniperinum	Brown	24890
S-13-POLJUN-B	Others	P_juniperinum	Brown	12816
S-14-POLJUN-B	Others	P_juniperinum	Brown	6904
S-15-POLJUN-B	Others	P_juniperinum	Brown	6631
S-16-POLJUN-B	Others	P_juniperinum	Brown	26281
S-17-POLJUN-B	Others	P_juniperinum	Brown	12318
S-18-POLJUN-B	Others	P_juniperinum	Brown	5712
