Sample	PCOA1	PCOA2	LocType	Month	Compartment	Microsite	Location	CoMoss	Vege1	Vege2	Vege3	Vege4	SoilMoisture	SoilpH	SiteHumidity	AmbientTemp	SoilTemp	OrgLayer	LeafLitter	LeafLitterSpec	Canopy	Host
S-4-POLPIL-B	-2.205953530898182	-0.9039216543468789	Natural	September	Brown	K	Chemin PK	NA	alninc	NA	NA	NA	5.89	5.32	43	23.9	12.4	0	High	alninc	49.13	P_piliferum
S-4-POLPIL-G	-0.28816266943007207	-1.855383529887052	Natural	September	Green	K	Chemin PK	NA	alninc	NA	NA	NA	5.89	5.32	43	23.9	12.4	0	High	alninc	49.13	P_piliferum
S-5-DICUND-B	-3.537052998149033	1.963143792655086	Natural	September	Brown	V	Eastmain 2	plesp	pinban	rhogro	NA	NA	146.42	3.82	45	29.8	12.5	0	None	none	75.74	D_undulatum
S-5-DICUND-G	-2.255948531107696	1.696819790130449	Natural	September	Green	V	Eastmain 2	plesp	pinban	rhogro	NA	NA	146.42	3.82	45	29.8	12.5	0	None	none	75.74	D_undulatum
S-5-POLCOM-B	-2.001333224014473	-1.834270967019635	Natural	September	Brown	S	Eastmain 2	NA	vacbor 	pinban	salixsp 	NA	5.95	5.26	57	25.8	15.5	2	Medium	vacbor	25.86	P_commune
S-5-POLCOM-G	-1.0858377512012973	-2.679013080791911	Natural	September	Green	S	Eastmain 2	NA	vacbor 	pinban	salixsp 	NA	5.95	5.26	57	25.8	15.5	2	Medium	vacbor	25.86	P_commune
S-5-POLPIL-B	-1.5987918569820476	-0.8566581828361719	Natural	September	Brown	K	Chemin PK	NA	alninc	NA	NA	NA	5.89	5.32	43	23.9	12.4	0	High	alninc	49.13	P_piliferum
S-5-POLPIL-G	0.27479888347001	-2.1140178916056507	Natural	September	Green	K	Chemin PK	NA	alninc	NA	NA	NA	5.89	5.32	43	23.9	12.4	0	High	alninc	49.13	P_piliferum
S-6-DICUND-B	-3.864851752269529	1.9633554174911496	Natural	September	Brown	V	Eastmain 2	plesp	pinban	rhogro	NA	NA	146.42	3.82	45	29.8	12.5	0	None	none	75.74	D_undulatum
S-6-DICUND-G	-2.19371969713919	1.3094086585615254	Natural	September	Green	V	Eastmain 2	plesp	pinban	rhogro	NA	NA	146.42	3.82	45	29.8	12.5	0	None	none	75.74	D_undulatum
S-6-POLCOM-B	-0.9636773405730992	-2.134556553356129	Natural	September	Brown	S	Eastmain 2	NA	vacbor 	pinban	salixsp 	NA	5.95	5.26	57	25.8	15.5	2	Medium	vacbor	25.86	P_commune
S-6-POLCOM-G	-0.04995510924319006	-2.263332844731392	Natural	September	Green	S	Eastmain 2	NA	vacbor 	pinban	salixsp 	NA	5.95	5.26	57	25.8	15.5	2	Medium	vacbor	25.86	P_commune
S-6-POLPIL-B	-2.280716122928725	-0.6111876641939289	Natural	September	Brown	K	Chemin PK	NA	alninc	NA	NA	NA	5.89	5.32	43	23.9	12.4	0	High	alninc	49.13	P_piliferum
